capital,investimentos,rendimentos,minimos,maximos
4529,4,{0.09;0.08;0.14;0.02},{0.21;0.07;0.14;0.11},{0.53;0.51;0.42;0.42}
18360,2,{0.12;0.05},{0.11;0.13},{0.59;0.61}
24550,2,{0.05;0.09},{0.3;0.24},{0.51;0.69}
36131,9,{0.09;0.14;0.14;0.06;0.1;0.05;0.07;0.05;0.13},{0.08;0.09;0.09;0.02;0.04;0.06;0.02;0.08;0.08},{0.35;0.33;0.3;0.3;0.57;0.3;0.39;0.36;0.56}
1763,4,{0.13;0.12;0.04;0.07},{0.17;0.2;0.01;0.01},{0.38;0.32;0.57;0.32}
12325,2,{0.02;0.02},{0.3;0.13},{0.38;0.82}
20418,10,{0.12;0.03;0.04;0.06;0.04;0.12;0.08;0.03;0.03;0.12},{0.01;0.02;0.02;0.04;0.08;0.02;0.03;0.01;0.06;0.06},{0.44;0.6;0.59;0.59;0.55;0.54;0.39;0.3;0.33;0.33}
25981,10,{0.11;0.03;0.03;0.09;0.05;0.11;0.02;0.03;0.09;0.07},{0.05;0.03;0.05;0.07;0.02;0.04;0.01;0.08;0.06;0.05},{0.32;0.5;0.3;0.43;0.39;0.3;0.39;0.59;0.33;0.3}
16336,10,{0.11;0.08;0.07;0.02;0.13;0.14;0.05;0.15;0.09;0.03},{0.08;0.0;0.06;0.04;0.0;0.02;0.04;0.05;0.05;0.02},{0.44;0.53;0.41;0.54;0.33;0.33;0.46;0.3;0.43;0.6}
21562,5,{0.15;0.14;0.11;0.11;0.14},{0.03;0.03;0.02;0.11;0.05},{0.35;0.35;0.52;0.3;0.3}
36254,9,{0.07;0.08;0.08;0.08;0.06;0.06;0.01;0.09;0.08},{0.08;0.06;0.03;0.06;0.03;0.08;0.08;0.04;0.01},{0.52;0.3;0.38;0.3;0.31;0.3;0.37;0.3;0.42}
7810,10,{0.01;0.07;0.12;0.02;0.06;0.03;0.03;0.14;0.09;0.09},{0.09;0.08;0.07;0.07;0.03;0.03;0.07;0.01;0.08;0.09},{0.34;0.36;0.34;0.58;0.55;0.3;0.3;0.31;0.34;0.58}
35278,7,{0.04;0.07;0.08;0.06;0.04;0.11;0.1},{0.13;0.01;0.12;0.1;0.01;0.02;0.12},{0.42;0.3;0.48;0.3;0.41;0.34;0.44}
28741,5,{0.12;0.02;0.13;0.06;0.1},{0.11;0.01;0.05;0.19;0.1},{0.3;0.34;0.3;0.47;0.47}
9322,3,{0.04;0.08;0.09},{0.3;0.04;0.12},{0.58;0.39;0.23}
16191,10,{0.1;0.13;0.09;0.11;0.02;0.06;0.07;0.13;0.06;0.14},{0.07;0.02;0.05;0.01;0.03;0.03;0.06;0.0;0.03;0.05},{0.41;0.37;0.3;0.38;0.38;0.3;0.59;0.3;0.3;0.39}
7850,7,{0.11;0.07;0.03;0.05;0.05;0.12;0.12},{0.03;0.01;0.07;0.09;0.06;0.06;0.11},{0.57;0.33;0.37;0.47;0.3;0.33;0.32}
18326,4,{0.09;0.14;0.06;0.04},{0.19;0.2;0.18;0.01},{0.44;0.3;0.37;0.42}
35980,8,{0.05;0.06;0.08;0.14;0.08;0.14;0.13;0.06},{0.1;0.09;0.07;0.05;0.01;0.07;0.1;0.04},{0.5;0.49;0.48;0.3;0.33;0.3;0.33;0.44}
26195,2,{0.04;0.05},{0.3;0.13},{0.6;0.6}
1451,9,{0.04;0.14;0.07;0.02;0.13;0.01;0.14;0.09;0.14},{0.02;0.06;0.0;0.08;0.06;0.08;0.05;0.06;0.0},{0.3;0.3;0.5;0.52;0.54;0.33;0.49;0.31;0.3}
16764,10,{0.08;0.12;0.12;0.03;0.04;0.12;0.08;0.13;0.12;0.11},{0.07;0.08;0.08;0.07;0.06;0.02;0.01;0.03;0.02;0.08},{0.59;0.3;0.3;0.5;0.3;0.3;0.58;0.5;0.37;0.3}
